title,title_pt,author,abstract,abstract_pt
Refactoring for software architecture smells,Refatoração para cheiros de arquitetura de software,"Samarthyam, Ganesh and Suryanarayana, Girish and Sharma, Tushar","Code smells and refactoring have received considerable interest from the academia as well as from the industry in the past two decades. The interest has given birth to various tools, processes, techniques, and practices to identify smells and refactor them. Despite the high interest, architecture smells and corresponding refactorings haven't received as much focus and adoption from the software engineering community. In this paper, we motivate the need of architecture refactoring, discuss the current related research, and present a few potential research directions for architecture refactoring.","Os cheiros de código e a refatoração têm recebido considerável interesse da academia e também da indústria nas últimas duas décadas. O interesse deu origem a diversas ferramentas, processos, técnicas e práticas para identificar cheiros e refatorá-los. Apesar do grande interesse, os cheiros de arquitetura e as refatorações correspondentes não receberam tanto foco e adoção da comunidade de engenharia de software. Neste artigo, motivamos a necessidade de refatoração de arquitetura, discutimos as pesquisas atuais relacionadas e apresentamos algumas direções de pesquisa potenciais para refatoração de arquitetura."
Continuous detection of design flaws in evolving object-oriented programs using incremental multi-pattern matching,Detecção contínua de falhas de projeto em programas orientados a objetos em evolução usando correspondência incremental de vários padrões,"Peldszus, Sven and Kulcs\'{a}r, G\'{e}za and Lochau, Malte and Schulze, Sandro","Design flaws in object-oriented programs may seriously corrupt code quality thus increasing the risk for introducing subtle errors during software maintenance and evolution. Most recent approaches identify design flaws in an ad-hoc manner, either focusing on software metrics, locally restricted code smells, or on coarse-grained architectural anti-patterns. In this paper, we utilize an abstract program model capturing high-level object-oriented code entities, further augmented with qualitative and quantitative design-related information such as coupling/cohesion. Based on this model, we propose a comprehensive methodology for specifying object-oriented design flaws by means of compound rules integrating code metrics, code smells and anti-patterns in a modular way. This approach allows for efficient, automated design-flaw detection through incremental multi-pattern matching, by facilitating systematic information reuse among multiple detection rules as well as between subsequent detection runs on continuously evolving programs. Our tool implementation comprises well-known anti-patterns for Java programs. The results of our experimental evaluation show high detection precision, scalability to real-size programs, as well as a remarkable gain in efficiency due to information reuse.","Falhas de projeto em programas orientados a objetos podem corromper seriamente a qualidade do código, aumentando assim o risco de introdução de erros sutis durante a manutenção e evolução do software. As abordagens mais recentes identificam falhas de design de maneira ad-hoc, concentrando-se em métricas de software, cheiros de código restritos localmente ou em antipadrões arquitetônicos de granulação grossa. Neste artigo, utilizamos um modelo de programa abstrato que captura entidades de código orientadas a objetos de alto nível, complementadas com informações qualitativas e quantitativas relacionadas ao design, como acoplamento/coesão. Com base neste modelo, propomos uma metodologia abrangente para especificar falhas de projeto orientadas a objetos por meio de regras compostas integrando métricas de código, cheiros de código e antipadrões de forma modular. Essa abordagem permite a detecção eficiente e automatizada de falhas de projeto por meio da correspondência incremental de vários padrões, facilitando a reutilização sistemática de informações entre múltiplas regras de detecção, bem como entre execuções de detecção subsequentes em programas em constante evolução. Nossa implementação de ferramenta compreende antipadrões bem conhecidos para programas Java. Os resultados da nossa avaliação experimental mostram alta precisão de detecção, escalabilidade para programas de tamanho real, bem como um notável ganho de eficiência devido à reutilização de informações."
Active hotspot: an issue-oriented model to monitor software evolution and degradation,Hotspot ativo: um modelo orientado a problemas para monitorar a evolução e degradação de software,"Feng, Qiong and Cai, Yuanfang and Kazman, Rick and Cui, Di and Liu, Ting and Fang, Hongzhou","Architecture degradation has a strong negative impact on software quality and can result in significant losses. Severe software degradation does not happen overnight. Software evolves continuously, through numerous issues, fixing bugs and adding new features, and architecture flaws emerge quietly and largely unnoticed until they grow in scope and significance when the system becomes difficult to maintain. Developers are largely unaware of these flaws or the accumulating debt as they are focused on their immediate tasks of address individual issues. As a consequence, the cumulative impacts of their activities, as they affect the architecture, go unnoticed. To detect these problems early and prevent them from accumulating into severe ones we propose to monitor software evolution by tracking the interactions among files revised to address issues. In particular, we propose and show how we can automatically detect active hotspots, to reveal architecture problems. We have studied hundreds of hotspots along the evolution timelines of 21 open source projects and showed that there exist just a few dominating active hotspots per project at any given time. Moreover, these dominating active hotspots persist over long time periods, and thus deserve special attention. Compared with state-of-the-art design and code smell detection tools we report that, using active hotspots, it is possible to detect signs of software degradation both earlier and more precisely.","A degradação da arquitetura tem um forte impacto negativo na qualidade do software e pode resultar em perdas significativas. A degradação severa do software não acontece da noite para o dia. O software evolui continuamente, através de vários problemas, corrigindo bugs e adicionando novos recursos, e as falhas de arquitetura surgem silenciosamente e em grande parte despercebidas até crescerem em escopo e importância quando o sistema se torna difícil de manter. Os promotores desconhecem em grande parte estas falhas ou a dívida acumulada, uma vez que estão concentrados nas suas tarefas imediatas de resolução de questões individuais. Como consequência, os impactos cumulativos das suas atividades, à medida que afetam a arquitetura, passam despercebidos. Para detectar esses problemas precocemente e evitar que eles se acumulem em problemas graves, propomos monitorar a evolução do software rastreando as interações entre os arquivos revisados ​​para resolver os problemas. Em particular, propomos e mostramos como podemos detectar automaticamente hotspots ativos, para revelar problemas de arquitetura. Estudamos centenas de hotspots ao longo dos cronogramas de evolução de 21 projetos de código aberto e mostramos que existem apenas alguns hotspots ativos dominantes por projeto em um determinado momento. Além disso, estes hotspots activos dominantes persistem durante longos períodos de tempo e, portanto, merecem atenção especial. Em comparação com ferramentas de design e detecção de cheiro de código de última geração, relatamos que, usando pontos de acesso ativos, é possível detectar sinais de degradação de software de forma mais precoce e precisa."
Topic modeling of NASA space system problem reports: research in practice,Modelagem de tópicos de relatórios de problemas do sistema espacial da NASA: pesquisa na prática,"Layman, Lucas and Nikora, Allen P. and Meek, Joshua and Menzies, Tim","Problem reports at NASA are similar to bug reports: they capture defects found during test, post-launch operational anomalies, and document the investigation and corrective action of the issue. These artifacts are a rich source of lessons learned for NASA, but are expensive to analyze since problem reports are comprised primarily of natural language text. We apply topic modeling to a corpus of NASA problem reports to extract trends in testing and operational failures. We collected 16,669 problem reports from six NASA space flight missions and applied Latent Dirichlet Allocation topic modeling to the document corpus. We analyze the most popular topics within and across missions, and how popular topics changed over the lifetime of a mission. We find that hardware material and flight software issues are common during the integration and testing phase, while ground station software and equipment issues are more common during the operations phase. We identify a number of challenges in topic modeling for trend analysis: 1) that the process of selecting the topic modeling parameters lacks definitive guidance, 2) defining semantically-meaningful topic labels requires non-trivial effort and domain expertise, 3) topic models derived from the combined corpus of the six missions were biased toward the larger missions, and 4) topics must be semantically distinct as well as cohesive to be useful. Nonetheless, topic modeling can identify problem themes within missions and across mission lifetimes, providing useful feedback to engineers and project managers.","Os relatórios de problemas na NASA são semelhantes aos relatórios de bugs: eles capturam defeitos encontrados durante o teste, anomalias operacionais pós-lançamento e documentam a investigação e ação corretiva do problema. Esses artefatos são uma fonte rica de lições aprendidas para a NASA, mas sua análise é cara, uma vez que os relatórios de problemas são compostos principalmente de texto em linguagem natural. Aplicamos modelagem de tópicos a um corpus de relatórios de problemas da NASA para extrair tendências em testes e falhas operacionais. Coletamos 16.669 relatórios de problemas de seis missões de voo espacial da NASA e aplicamos a modelagem de tópicos de Alocação Latente de Dirichlet ao corpus do documento. Analisamos os tópicos mais populares dentro e entre missões, e como os tópicos populares mudaram ao longo da vida de uma missão. Descobrimos que problemas com materiais de hardware e software de voo são comuns durante a fase de integração e teste, enquanto problemas com software e equipamentos da estação terrestre são mais comuns durante a fase de operações. Identificamos uma série de desafios na modelagem de tópicos para análise de tendências: 1) que o processo de seleção dos parâmetros de modelagem de tópicos carece de orientação definitiva, 2) definir rótulos de tópicos semanticamente significativos requer esforço não trivial e conhecimento de domínio, 3) modelos de tópicos derivados do corpus combinado das seis missões foram tendenciosos para as missões maiores, e 4) os tópicos devem ser semanticamente distintos, bem como coesos para serem úteis. No entanto, a modelagem de tópicos pode identificar temas problemáticos dentro das missões e ao longo da vida das missões, fornecendo feedback útil para engenheiros e gerentes de projeto."
LADC '24: Proceedings of the 13th Latin-American Symposium on Dependable and Secure Computing,LADC '24: Anais do 13º Simpósio Latino-Americano sobre Computação Confiável e Segura,,,#VALUE!
"Maintenance Operations on Cloud, Edge, and IoT Environments: Taxonomy, Survey, and Research Challenges","Operações de manutenção em ambientes de nuvem, borda e IoT: taxonomia, levantamento e desafios de pesquisa","Souza, Paulo and Ferreto, Tiago and Calheiros, Rodrigo","The emergence of the Internet of Things (IoT) introduced new classes of applications whose latency and bandwidth requirements could not be satisfied by the traditional Cloud Computing model. Consequently, the Internet Technology community promoted the cooperation of two paradigms, Cloud Computing and Edge Computing, combining large-scale computing power and real-time processing capabilities. A significant management challenge in such complex infrastructure concerns the development of efficient maintenance strategies to preserve the environment’s performance and security. While the abundant resources from the academic literature could support the design of novel maintenance solutions, extracting actionable insights from the existing approaches is challenging, given the massive number of published papers. Furthermore, existing review papers, which could help summarize the state-of-the-art, scope their investigations to the maintenance of certain components in particular scenarios. This work fills this gap with a broader literature analysis that covers maintenance strategies targeting physical and logical components in cloud, edge, and IoT environments. First, we introduce a taxonomy that organizes existing solutions according to several characteristics. Then, we review the literature following the taxonomy structure to facilitate the understanding of the research landscape and the comparison between existing works. Finally, we shed light on open challenges that represent promising research directions.","O surgimento da Internet das Coisas (IoT) introduziu novas classes de aplicações cujos requisitos de latência e largura de banda não poderiam ser satisfeitos pelo modelo tradicional de Cloud Computing. Consequentemente, a comunidade de Tecnologia da Internet promoveu a cooperação de dois paradigmas, Cloud Computing e Edge Computing, combinando poder de computação em grande escala e capacidades de processamento em tempo real. Um desafio significativo de gestão em infraestruturas tão complexas diz respeito ao desenvolvimento de estratégias de manutenção eficientes para preservar o desempenho e a segurança do ambiente. Embora os recursos abundantes da literatura académica possam apoiar a concepção de novas soluções de manutenção, extrair conhecimentos práticos das abordagens existentes é um desafio, dado o enorme número de artigos publicados. Além disso, os documentos de revisão existentes, que poderiam ajudar a resumir o estado da arte, abrangem as suas investigações para a manutenção de certos componentes em cenários específicos. Este trabalho preenche essa lacuna com uma análise mais ampla da literatura que abrange estratégias de manutenção direcionadas a componentes físicos e lógicos em ambientes de nuvem, edge e IoT. Primeiro, apresentamos uma taxonomia que organiza as soluções existentes de acordo com diversas características. Em seguida, revisamos a literatura seguindo a estrutura da taxonomia para facilitar a compreensão do cenário da pesquisa e a comparação entre os trabalhos existentes. Finalmente, lançamos luz sobre desafios abertos que representam direções de pesquisa promissoras."
ESEC/FSE 2023: Proceedings of the 31st ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering,ESEC/FSE 2023: Anais da 31ª Conferência Conjunta Europeia de Engenharia de Software e Simpósio sobre os Fundamentos da Engenharia de Software da ACM,,"We are pleased to welcome all delegates to ESEC/FSE 2023, the ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering. ESEC/FSE is an internationally renowned forum for researchers, practitioners, and educators to present and discuss the most recent innovations, trends, experiences, and challenges in the field of software engineering. ESEC/FSE brings together experts from academia and industry to exchange the latest research results and trends as well as their practical application in all areas of software engineering.","Temos o prazer de dar as boas-vindas a todos os delegados à ESEC/FSE 2023, a Conferência Conjunta Europeia de Engenharia de Software e Simpósio sobre os Fundamentos da Engenharia de Software da ACM. ESEC/FSE é um fórum de renome internacional para investigadores, profissionais e educadores apresentarem e discutirem as mais recentes inovações, tendências, experiências e desafios no campo da engenharia de software. A ESEC/FSE reúne especialistas da academia e da indústria para partilhar os mais recentes resultados e tendências de investigação, bem como a sua aplicação prática em todas as áreas da engenharia de software."
On the effect of incompleteness to check requirement-to-method traces,Sobre o efeito da incompletude na verificação dos rastreamentos do requisito ao método,"Hammoudi, Mouna and Mayr-Dorn, Christoph and Mashkoor, Atif and Egyed, Alexander","Requirement-to-method traces reveal the code location(s) where a requirement is implemented. This is helpful to software engineers when they have to perform tasks such as software maintenance or bug fixing. Indeed, being aware of the method(s) that implement a requirement saves engineers' time, as it pinpoints the exact code region that needs to be edited to perform a bug fix or a maintenance task. Engineers produce traces manually as well as automatically. Nevertheless, traces are incomplete. This limits the amount of information that could be used by an automated technique to check further traces. Therefore, since traces are incomplete, we would like to study the effect of incompleteness on the automated assessment of requirement-to-method traces. In this paper, we apply machine learning on either incomplete or complete tracing information and we evaluate the effect of incompleteness on checking trace information. We demonstrate that the use of complete traces might yield a higher precision but yields a lower recall. Also, the use of incomplete traces yields a higher recall but a lower precision.","Os rastreamentos do requisito ao método revelam os locais do código onde um requisito é implementado. Isso é útil para engenheiros de software quando eles precisam realizar tarefas como manutenção de software ou correção de bugs. Na verdade, estar ciente dos métodos que implementam um requisito economiza tempo dos engenheiros, pois identifica a região exata do código que precisa ser editada para executar uma correção de bug ou uma tarefa de manutenção. Os engenheiros produzem traços manualmente e também automaticamente. No entanto, os vestígios estão incompletos. Isto limita a quantidade de informação que poderia ser usada por uma técnica automatizada para verificar vestígios adicionais. Portanto, como os rastreamentos são incompletos, gostaríamos de estudar o efeito da incompletude na avaliação automatizada dos rastreamentos de requisitos para métodos. Neste artigo, aplicamos aprendizado de máquina em informações de rastreamento incompletas ou completas e avaliamos o efeito da incompletude na verificação de informações de rastreamento. Demonstramos que o uso de traços completos pode produzir uma precisão maior, mas produz uma recuperação menor. Além disso, o uso de traços incompletos produz uma recuperação maior, mas uma precisão menor."
FSE 2024: Companion Proceedings of the 32nd ACM International Conference on the Foundations of Software Engineering,FSE 2024: Anais complementares da 32ª Conferência Internacional ACM sobre os Fundamentos da Engenharia de Software,,"We are pleased to welcome all delegates to FSE 2024, the ACM International Conference on the Foundations of Software Engineering (FSE) 2024. The conference now has a shorter name! FSE is an internationally renowned forum for researchers, practitioners, and educators to present and discuss the most recent innovations, trends, experiences, and challenges in the field of software engineering. FSE brings together experts from academia and industry to exchange the latest research results and trends as well as their practical application in all areas of software engineering.","Temos o prazer de dar as boas-vindas a todos os delegados à FSE 2024, a Conferência Internacional ACM sobre os Fundamentos da Engenharia de Software (FSE) 2024. A conferência agora tem um nome mais curto! FSE é um fórum de renome internacional para pesquisadores, profissionais e educadores apresentarem e discutirem as mais recentes inovações, tendências, experiências e desafios no campo da engenharia de software. A FSE reúne especialistas da academia e da indústria para compartilhar os mais recentes resultados e tendências de pesquisas, bem como sua aplicação prática em todas as áreas da engenharia de software."
"ARCADE: an extensible workbench for architecture recovery, change, and decay evaluation","ARCADE: um ambiente de trabalho extensível para recuperação, mudança e avaliação de deterioração de arquitetura","Schmitt Laser, Marcelo and Medvidovic, Nenad and Le, Duc Minh and Garcia, Joshua","This paper presents the design, implementation, and usage details of ARCADE, an extensible workbench for supporting the recovery of software systems' architectures, and for evaluating architectural change and decay. ARCADE has been developed and maintained over the past decade, and has been deployed in a number of research labs as well as within three large companies. ARCADE's implementation is available at https://bitbucket.org/joshuaga/arcade and the video depicting its use at https://tinyurl.com/arcade-tool-demo.","Este artigo apresenta detalhes de projeto, implementação e uso do ARCADE, um ambiente de trabalho extensível para apoiar a recuperação de arquiteturas de sistemas de software e para avaliar mudanças e decadências arquitetônicas. O ARCADE foi desenvolvido e mantido ao longo da última década e foi implantado em vários laboratórios de pesquisa, bem como em três grandes empresas. A implementação do ARCADE está disponível em https://bitbucket.org/joshuaga/arcade e o vídeo que descreve seu uso em https://tinyurl.com/arcade-tool-demo."
Feature Selection Techniques to Counter Class Imbalance Problem for Aging Related Bug Prediction: Aging Related Bug Prediction,Técnicas de seleção de recursos para combater o problema de desequilíbrio de classe para previsão de bugs relacionados ao envelhecimento: previsão de bugs relacionados ao envelhecimento,"Kumar, Lov and Sureka, Ashish","Aging-Related Bugs (ARBs) occur in long running systems due to error conditions caused because of accumulation of problems such as memory leakage or unreleased files and locks. Aging-Related Bugs are hard to discover during software testing and also challenging to replicate. Automatic identification and prediction of aging related fault-prone files and classes in an object oriented system can help the software quality assurance team to optimize their testing efforts. In this paper, we present a study on the application of static source code metrics and machine learning techniques to predict aging related bugs. We conduct a series of experiments on publicly available dataset from two large open-source software systems: Linux and MySQL. Class imbalance and high dimensionality are the two main technical challenges in building effective predictors for aging related bugs.We investigate the application of five different feature selection techniques (OneR, Information Gain, Gain Ratio, RELEIF and Symmetric Uncertainty) for dimensionality reduction and five different strategies (Random Under-sampling, Random Oversampling, SMOTE, SMOTEBoost and RUSBoost) to counter the effect of class imbalance in our proposed machine learning based solution approach. Experimental results reveal that the random under-sampling approach performs best followed by RUSBoost in-terms of the mean AUC metric. Statistical significance test demonstrates that there is a significant difference between the performance of the various feature selection techniques. Experimental results shows that Gain Ratio and RELEIF performs best in comparison to other strategies to address the class imbalance problem. We infer from the statistical significance test that there is no difference between the performances of the five different learning algorithms.","Bugs relacionados ao envelhecimento (ARBs) ocorrem em sistemas de longa execução devido a condições de erro causadas pelo acúmulo de problemas, como vazamento de memória ou arquivos e bloqueios não lançados. Bugs relacionados ao envelhecimento são difíceis de descobrir durante os testes de software e também difíceis de replicar. A identificação e previsão automáticas de arquivos e classes sujeitos a falhas relacionados ao envelhecimento em um sistema orientado a objetos podem ajudar a equipe de garantia de qualidade de software a otimizar seus esforços de teste. Neste artigo, apresentamos um estudo sobre a aplicação de métricas estáticas de código-fonte e técnicas de aprendizado de máquina para prever bugs relacionados ao envelhecimento. Conduzimos uma série de experimentos em conjuntos de dados disponíveis publicamente de dois grandes sistemas de software de código aberto: Linux e MySQL. Desequilíbrio de classe e alta dimensionalidade são os dois principais desafios técnicos na construção de preditores eficazes para bugs relacionados ao envelhecimento. Investigamos a aplicação de cinco técnicas diferentes de seleção de recursos (OneR, ganho de informação, taxa de ganho, RELEIF e incerteza simétrica) para redução de dimensionalidade e cinco estratégias diferentes (subamostragem aleatória, sobreamostragem aleatória, SMOTE, SMOTEBoost e RUSBoost) para combater o efeito do desequilíbrio de classe em nossa abordagem de solução proposta baseada em aprendizado de máquina. Os resultados experimentais revelam que a abordagem de subamostragem aleatória tem melhor desempenho seguida pelo RUSBoost em termos da métrica média de AUC. O teste de significância estatística demonstra que existe uma diferença significativa entre o desempenho das diversas técnicas de seleção de recursos. Os resultados experimentais mostram que Gain Ratio e RELEIF apresentam melhor desempenho em comparação com outras estratégias para resolver o problema de desequilíbrio de classe. Inferimos do teste de significância estatística que não há diferença entre os desempenhos dos cinco algoritmos de aprendizagem diferentes."
A Survey of AIOps Methods for Failure Management,Uma pesquisa de métodos AIOps para gerenciamento de falhas,"Notaro, Paolo and Cardoso, Jorge and Gerndt, Michael","Modern society is increasingly moving toward complex and distributed computing systems. The increase in scale and complexity of these systems challenges O&amp;M teams that perform daily monitoring and repair operations, in contrast with the increasing demand for reliability and scalability of modern applications. For this reason, the study of automated and intelligent monitoring systems has recently sparked much interest across applied IT industry and academia. Artificial Intelligence for IT Operations (AIOps) has been proposed to tackle modern IT administration challenges thanks to Machine Learning, AI, and Big Data. However, AIOps as a research topic is still largely unstructured and unexplored, due to missing conventions in categorizing contributions for their data requirements, target goals, and components. In this work, we focus on AIOps for Failure Management (FM), characterizing and describing 5 different categories and 14 subcategories of contributions, based on their time intervention window and the target problem being solved. We review 100 FM solutions, focusing on applicability requirements and the quantitative results achieved, to facilitate an effective application of AIOps solutions. Finally, we discuss current development problems in the areas covered by AIOps and delineate possible future trends for AI-based failure management.","A sociedade moderna está cada vez mais migrando para sistemas de computação complexos e distribuídos. O aumento da escala e da complexidade destes sistemas desafia as equipas de O&M que realizam operações diárias de monitorização e reparação, em contraste com a crescente procura de fiabilidade e escalabilidade das aplicações modernas. Por esta razão, o estudo de sistemas de monitoramento automatizados e inteligentes despertou recentemente muito interesse na indústria de TI aplicada e na academia. A Inteligência Artificial para Operações de TI (AIOps) foi proposta para enfrentar os desafios modernos de administração de TI graças ao aprendizado de máquina, IA e Big Data. No entanto, o AIOps como tópico de investigação ainda é largamente desestruturado e inexplorado, devido à falta de convenções na categorização de contribuições para os seus requisitos de dados, objetivos alvo e componentes. Neste trabalho, focamos em AIOps para Gerenciamento de Falhas (FM), caracterizando e descrevendo 5 categorias diferentes e 14 subcategorias de contribuições, com base em sua janela de tempo de intervenção e no problema alvo a ser resolvido. Revisamos 100 soluções de FM, com foco nos requisitos de aplicabilidade e nos resultados quantitativos alcançados, para facilitar uma aplicação eficaz de soluções AIOps. Por fim, discutimos os problemas atuais de desenvolvimento nas áreas cobertas pela AIOps e delineamos possíveis tendências futuras para o gerenciamento de falhas baseado em IA."
Mining Discussions on Software Migration: A study of the Boost mailing list regarding C++ code evolution,Discussões de mineração sobre migração de software: um estudo da lista de discussão Boost sobre a evolução do código C++,"Carvalho, Pedro V. R. de and Bonif\'{a}cio, Rodrigo and Lucas, Walter and Mota, Alana Paula Barbosa","Programming languages are evolving faster than ever before. New versions of mainstream programming languages (e.g., C++, Java, and JavaScript) are being released with increasing frequency, posing an elevated challenge for software developers as their systems are more easily affected by obsolescence. Software migration is far from trivial. Although there is literature on software migration methods and how developers deal with the software aging and obsolescence, little research exists on how developers perceive and are affected by rapid programming language evolution. To understand how C++ developers discuss these issues and the nature of their discussions, we mined the mailing lists of the Boost organization—one of the most important C++ open-source communities. We found that software migration is a significant concern for this community, with a lasting presence in their message boards. Furthermore, most discussions related to the challenges of the migration process, with many conflicting opinions on related matters, suggesting these issues are not easily solvable.","As linguagens de programação estão evoluindo mais rápido do que nunca. Novas versões das principais linguagens de programação (por exemplo, C++, Java e JavaScript) estão sendo lançadas com frequência cada vez maior, representando um desafio elevado para os desenvolvedores de software, pois seus sistemas são mais facilmente afetados pela obsolescência. A migração de software está longe de ser trivial. Embora exista literatura sobre métodos de migração de software e como os desenvolvedores lidam com o envelhecimento e a obsolescência do software, existem poucas pesquisas sobre como os desenvolvedores percebem e são afetados pela rápida evolução da linguagem de programação. Para entender como os desenvolvedores de C++ discutem essas questões e a natureza de suas discussões, exploramos as listas de discussão da organização Boost – uma das comunidades de código aberto C++ mais importantes. Descobrimos que a migração de software é uma preocupação significativa para esta comunidade, com uma presença duradoura nos seus fóruns. Além disso, a maioria das discussões relacionava-se com os desafios do processo de migração, com muitas opiniões contraditórias sobre assuntos relacionados, sugerindo que estas questões não são facilmente solucionáveis."
Effects of Visualizing Technical Debts on a Software Maintenance Project,Efeitos da visualização de dívidas técnicas em um projeto de manutenção de software,"Dias, Ronivon Silva and de Alc\^{a}ntara dos Santos Neto, Pedro and de Sousa Ibiapina, Irvayne Matheus and Avelino, Guilherme Amaral and da Costa Castro, Ot\'{a}vio Cury","The technical debt (TD) metaphor is widely used to encapsulate numerous software quality problems. She describes the trade-off between the short term benefit of taking a shortcut during the design or implementation phase of a software product (for example, in order to meet a deadline) and the long term consequences of taking said shortcut, which may affect the quality of the software product. TDs must be managed to guarantee the software quality and also reduce its maintenance and evolution costs. However, the tools for TD detection usually provide results only considering the files perspective (class and methods), that is not usual during the project management. In this work, a technique is proposed to identify/visualize TD on a new perspective: software features. The proposed technique adopts Mining Software Repository (MRS) tools to identify the software features and after the technical debts that affect these features. Additionally, we also proposed an approach to support maintenance tasks guided by TD visualization at the feature level aiming to evaluate its applicability on real software projects. The results indicate that the approach can be useful to decrease the existent TDs, as well as avoid the introduction of new TDs.","A metáfora da dívida técnica (TD) é amplamente utilizada para encapsular vários problemas de qualidade de software. Ela descreve o compromisso entre o benefício a curto prazo de tomar um atalho durante a fase de concepção ou implementação de um produto de software (por exemplo, para cumprir um prazo) e as consequências a longo prazo de tomar esse atalho, que podem afectar a qualidade do produto de software. Os TDs devem ser gerenciados para garantir a qualidade do software e também reduzir seus custos de manutenção e evolução. Porém, as ferramentas para detecção de TD geralmente fornecem resultados apenas considerando a perspectiva dos arquivos (classes e métodos), o que não é usual durante o gerenciamento de projetos. Neste trabalho é proposta uma técnica para identificar/visualizar DT sob uma nova perspectiva: funcionalidades de software. A técnica proposta adota ferramentas Mining Software Repository (MRS) para identificar as funcionalidades do software e após as dívidas técnicas que afetam essas funcionalidades. Adicionalmente, também propusemos uma abordagem para apoiar tarefas de manutenção guiada pela visualização de TD no nível de feature visando avaliar sua aplicabilidade em projetos reais de software. Os resultados indicam que a abordagem pode ser útil para diminuir os DTs existentes, bem como evitar a introdução de novos DTs."
A survey of software aging and rejuvenation studies,Uma pesquisa sobre estudos de envelhecimento e rejuvenescimento de software,"Cotroneo, Domenico and Natella, Roberto and Pietrantuono, Roberto and Russo, Stefano","Software aging is a phenomenon plaguing many long-running complex software systems, which exhibit performance degradation or an increasing failure rate. Several strategies based on the proactive rejuvenation of the software state have been proposed to counteract software aging and prevent failures. This survey article provides an overview of studies on Software Aging and Rejuvenation (SAR) that have appeared in major journals and conference proceedings, with respect to the statistical approaches that have been used to forecast software aging phenomena and to plan rejuvenation, the kind of systems and aging effects that have been studied, and the techniques that have been proposed to rejuvenate complex software systems. The analysis is useful to identify key results from SAR research, and it is leveraged in this article to highlight trends and open issues.","O envelhecimento do software é um fenômeno que assola muitos sistemas de software complexos de longa execução, que apresentam degradação de desempenho ou uma taxa de falhas crescente. Várias estratégias baseadas no rejuvenescimento proativo do estado do software foram propostas para neutralizar o envelhecimento do software e prevenir falhas. Este artigo de pesquisa fornece uma visão geral dos estudos sobre Envelhecimento e Rejuvenescimento de Software (SAR) que apareceram nos principais periódicos e anais de conferências, com relação às abordagens estatísticas que foram usadas para prever fenômenos de envelhecimento de software e planejar o rejuvenescimento, o tipo de sistemas e efeitos de envelhecimento que foram estudados, e as técnicas que foram propostas para rejuvenescer sistemas de software complexos. A análise é útil para identificar os principais resultados da investigação SAR e é aproveitada neste artigo para destacar tendências e questões em aberto."
Comparison of Machine Learning Algorithms for Detecting Software Aging in SQL Server,Comparação de algoritmos de aprendizado de máquina para detecção de envelhecimento de software no SQL Server,"Nascimento, Maria Gizele and Moura, Rafael Jos\'{e} and Machida, Fumio and Andrade, Ermeson","Software aging is a phenomenon characterized by the progressive degradation of system performance, resulting from the accumulation of internal erros, such as memory leaks and resource exhaustion. Efficient detection of this process is essential to prevent critical failures in production environments. Although several studies use Machine Learning (ML) algorithms to detect software aging, systematic comparison between these algorithms is still limited, especially in terms of their ability to predict resource exhaustion. This paper aims to fill this gap by comparing ML algorithms for detecting software aging, focusing on RAM memory exhaustion as the main indicator. The analysis was conducted using a dataset on RAM memory usage in SQL Server, applying the algorithms K-Nearest Neighbors (KNN), Support Vector Machine (SVM), and Random Forest (RF). The performance of the models was evaluated using the metrics Mean Absolute Error (MAE), Root Mean Square Error (RMSE) and coefficient of determination (R2). Based on these indicators, it was possible to identify the most accurate algorithm and predict the time until memory exhaustion.","O envelhecimento de software é um fenômeno caracterizado pela degradação progressiva do desempenho do sistema, resultante do acúmulo de erros internos, como vazamentos de memória e esgotamento de recursos. A detecção eficiente deste processo é essencial para evitar falhas críticas em ambientes de produção. Embora vários estudos utilizem algoritmos de Aprendizado de Máquina (ML) para detectar o envelhecimento de software, a comparação sistemática entre esses algoritmos ainda é limitada, especialmente em termos de sua capacidade de prever o esgotamento de recursos. Este artigo visa preencher essa lacuna comparando algoritmos de ML para detecção de envelhecimento de software, focando no esgotamento da memória RAM como principal indicador. A análise foi realizada utilizando um conjunto de dados sobre uso de memória RAM no SQL Server, aplicando os algoritmos K-Nearest Neighbors (KNN), Support Vector Machine (SVM) e Random Forest (RF). O desempenho dos modelos foi avaliado por meio das métricas Mean Absolute Error (MAE), Root Mean Square Error (RMSE) e coeficiente de determinação (R2). Com base nesses indicadores, foi possível identificar o algoritmo mais preciso e prever o tempo até o esgotamento da memória."
